amfi_code,Annual_Return,Annual_Volatility,Sharpe_Ratio,Sharpe_Rank
148567,0.27056620166916845,0.1419370675462035,1.4482911703262598,1.0
120843,0.2726022383393478,0.1588698652360926,1.3067439695428409,2.0
148569,0.28326161538880446,0.17674006691346694,1.2349300257743294,3.0
119551,0.2310331546138718,0.13741434141879644,1.2082665673727175,4.0
120505,0.2926527249840709,0.19290949406318195,1.1801011976606492,5.0
149323,0.26590814851467,0.17746159397550842,1.1321218524747243,6.0
100033,0.27211056847152365,0.18936710835214166,1.093698743534631,7.0
118632,0.21803695132499992,0.14148352294996655,1.0816591793457042,8.0
101206,0.2146466240023027,0.14568212847454326,1.0272133278753695,9.0
120504,0.21244769573283434,0.14363780566736659,1.0265242847993001,10.0
119094,0.25872785977673984,0.1940711742333472,0.9982309868636413,11.0
119552,0.197881133444817,0.13939367612717501,0.9532794968660104,12.0
149324,0.300931229977172,0.24840205005242097,0.9497958246616031,13.0
119598,0.30265596572351255,0.25140578624384674,0.9453082575156095,14.0
148568,0.20791821293359272,0.15429144469823297,0.9262873467360144,15.0
102885,0.16988800557692826,0.1283662839786056,0.8170993373494367,16.0
120503,0.1757940429247065,0.1388443751311979,0.7979728586052847,17.0
125497,0.17879963802436752,0.14668866752399518,0.7757902498211205,18.0
118635,0.15131944040863557,0.12983158874316306,0.664856998549062,19.0
120506,0.16382758819055004,0.15230516379673067,0.6488787755249532,20.0
118633,0.15531106361835714,0.13997213649186155,0.6452074382933215,21.0
102887,0.1626258549662886,0.15758366917912994,0.6195175900829828,22.0
120507,0.0674484404275901,0.0049391262595120155,0.4957233929533123,23.0
120841,0.1315478451977995,0.13463795800784448,0.4942725378672349,24.0
149322,0.13160728496649923,0.14353859818510503,0.46403744922047774,25.0
118634,0.1781915642892773,0.2524152094634046,0.44843400890899127,26.0
125498,0.12016959264353062,0.18352430087335778,0.30061192104254786,27.0
101207,0.1069621227736075,0.2579732221707774,0.16266076928646772,28.0
119093,0.08312437838149542,0.13983295593638856,0.12961449795669328,29.0
120842,0.07859995621336482,0.17894715006571874,0.07599984804658923,30.0
119092,0.06929469030104402,0.13950661341123835,0.03078485095458594,31.0
119599,0.0507318653023297,0.24950125122855862,-0.05718662582817995,32.0
119095,0.04595602382589967,0.2506658023260044,-0.0759735711747892,33.0
120844,0.06454444499823224,0.005133170487371137,-0.08874729621557288,34.0
100016,0.03568302536201135,0.14548134802183876,-0.20151706755966936,35.0
102886,0.027673310029606265,0.18134576297311303,-0.20583160785470309,36.0
119120,0.056011613099590955,0.039670623690338705,-0.22657538662791576,37.0
118636,0.050786394904641624,0.039855381553882616,-0.35662950751436784,38.0
100025,0.04285355596222693,0.039052455281001604,-0.5670947928476846,39.0
101208,0.06086966398608307,0.005064371352310742,-0.8155673679088263,40.0
